,movie name,year,rating
0,'The Shawshank Redemption','1994','9.3'
1,'The Godfather','1972','9.2'
2,'The Godfather: Part II','1974','9.0'
3,'The Dark Knight','2008','9.0'
4,'12 Angry Men','1957','8.9'
5,"""Schindler's List""",'1993','8.9'
6,'The Lord of the Rings: The Return of the King','2003','8.9'
7,'Pulp Fiction','1994','8.9'
8,'Il buono,il brutto,'West Germany | Italy | Spain'
9,'Fight Club','1999','8.8'
10,'The Lord of the Rings: The Fellowship of the Ring','2001','8.8'
11,'Forrest Gump','1994','8.8'
12,'Star Wars: Episode V - The Empire Strikes Back','1980','8.8'
13,'Inception','2010','8.8'
14,'The Lord of the Rings: The Two Towers','2002','8.7'
15,"""One Flew Over the Cuckoo's Nest""",'1975','8.7'
16,'Goodfellas','1990','8.7'
17,'The Matrix','1999','8.7'
18,'Shichinin no samurai','1954','8.7'
19,'Cidade de Deus','2002','8.6'
20,'Se7en','1995','8.6'
21,'Star Wars','1977','8.6'
22,'The Silence of the Lambs','1991','8.6'
23,"""It's a Wonderful Life""",'1946','8.6'
24,'La vita è bella','1997','8.6'
25,'The Usual Suspects','1995','8.6'
26,'Sen to Chihiro no kamikakushi','2001','8.6'
27,'Saving Private Ryan','1998','8.6'
28,'Léon','1994','8.6'
29,'Spider-Man: Into the Spider-Verse','2018','8.7'
30,'The Green Mile','1999','8.5'
31,'Interstellar','2014','8.6'
32,'Psycho','1960','8.5'
33,'American History X','1998','8.5'
34,'City Lights','1931','8.5'
35,"""C'era una volta il West""",'1968','8.5'
36,'Casablanca','1942','8.5'
37,'Modern Times','1936','8.5'
38,'The Pianist','2002','8.5'
39,'Intouchables','2011','8.5'
40,'The Departed','2006','8.5'
41,'Terminator 2: Judgment Day','1991','8.5'
42,'Back to the Future','1985','8.5'
43,'Whiplash','2014','8.5'
44,'Rear Window','1954','8.5'
45,'Raiders of the Lost Ark','1981','8.5'
46,'The Lion King\xa0','1994','8.5'
47,'Gladiator','2000','8.5'
48,'The Prestige','2006','8.5'
49,'Apocalypse Now','1979','8.5'
50,'Memento','2000','8.5'
51,'Alien','1979','8.5'
52,'The Great Dictator','1940','8.5'
53,'Nuovo Cinema Paradiso','1988','8.5'
54,'Hotaru no haka','1988','8.5'
55,'Avengers: Infinity War','2018','8.5'
56,'Sunset Blvd.','1950','8.4'
57,'Das Leben der Anderen','2006','8.4'
58,'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb','1964','8.4'
59,'Paths of Glory','1957','8.4'
60,'The Shining','1980','8.4'
61,'Django Unchained','2012','8.4'
62,'WALL·E','2008','8.4'
63,'Mononoke-hime','1997','8.4'
64,'Witness for the Prosecution','1957','8.4'
65,'American Beauty','1999','8.4'
66,'The Dark Knight Rises','2012','8.4'
67,'Oldeuboi','2003','8.4'
68,'Aliens','1986','8.4'
69,'Once Upon a Time in America','1984','8.4'
70,'Coco','2017','8.4'
71,'Das Boot','1981','8.4'
72,'Citizen Kane','1941','8.4'
73,'Braveheart','1995','8.4'
74,'Vertigo','1958','8.3'
75,'North by Northwest','1959','8.3'
76,'Reservoir Dogs','1992','8.3'
77,'Star Wars: Episode VI - Return of the Jedi','1983','8.3'
78,'M - Eine Stadt sucht einen Mörder','1931','8.3'
79,'Kimi no na wa.','2016','8.4'
80,'Amadeus','1984','8.3'
81,'Requiem for a Dream','2000','8.3'
82,'Dangal','2016','8.5'
83,'Taare Zameen Par','2007','8.4'
84,'Lawrence of Arabia','1962','8.3'
85,'Eternal Sunshine of the Spotless Mind','2004','8.3'
86,'A Clockwork Orange','1971','8.3'
87,'3 Idiots','2009','8.4'
88,'2001: A Space Odyssey','1968','8.3'
89,"""Le fabuleux destin d'Amélie Poulain""",'2001','8.3'
90,'Toy Story','1995','8.3'
91,'Double Indemnity','1944','8.3'
92,'Taxi Driver','1976','8.3'
93,"""Singin' in the Rain""",'1952','8.3'
94,'Inglourious Basterds','2009','8.3'
95,'Full Metal Jacket','1987','8.3'
96,'To Kill a Mockingbird','1962','8.3'
97,'Ladri di biciclette','1948','8.3'
98,'The Kid','1921','8.3'
99,'The Sting','1973','8.3'
100,'Good Will Hunting','1997','8.3'
101,'Toy Story 3','2010','8.3'
102,'Jagten','2012','8.3'
103,'Snatch','2000','8.3'
104,'Scarface','1983','8.3'
105,'Monty Python and the Holy Grail','1975','8.3'
106,'Per qualche dollaro in più','1965','8.3'
107,'L.A. Confidential','1997','8.3'
108,'The Apartment','1960','8.3'
109,'Metropolis','1927','8.3'
110,'Jodaeiye Nader az Simin','2011','8.3'
111,'Indiana Jones and the Last Crusade','1989','8.2'
112,'Rashômon','1950','8.3'
113,'Up','2009','8.3'
114,'All About Eve','1950','8.3'
115,'Batman Begins','2005','8.3'
116,'Yôjinbô','1961','8.3'
117,'Some Like It Hot','1959','8.2'
118,'Unforgiven','1992','8.2'
119,'Der Untergang','2004','8.2'
120,'Die Hard','1988','8.2'
121,'The Treasure of the Sierra Madre','1948','8.2'
122,'Heat','1995','8.2'
123,'Ikiru','1952','8.3'
124,'Incendies','2010','8.2'
125,'Raging Bull','1980','8.2'
126,'The Great Escape','1963','8.2'
127,'Bacheha-Ye aseman','1997','8.3'
128,'El laberinto del fauno','2006','8.2'
129,'Babam ve Oglum','2005','8.4'
130,'Chinatown','1974','8.2'
131,'The Third Man','1949','8.2'
132,'Bohemian Rhapsody','2018','8.3'
133,'Tonari no Totoro','1988','8.2'
134,'Hauru no ugoku shiro','2004','8.2'
135,'Ran','1985','8.2'
136,'Judgment at Nuremberg','1961','8.2'
137,'El secreto de sus ojos','2009','8.2'
138,'The Gold Rush','1925','8.2'
139,'The Bridge on the River Kwai','1957','8.2'
140,'A Beautiful Mind','2001','8.2'
141,'Lock,Stock and Two Smoking Barrels','Guy Ritchie'
142,'Casino','1995','8.2'
143,'Three Billboards Outside Ebbing,Missouri','Martin McDonagh'
144,'On the Waterfront','1954','8.2'
145,'Det sjunde inseglet','1957','8.2'
146,'Inside Out','2015','8.2'
147,'The Elephant Man','1980','8.2'
148,'Room','2015','8.2'
149,'The Wolf of Wall Street','2013','8.2'
150,'Mr. Smith Goes to Washington','1939','8.2'
151,'V for Vendetta','2005','8.2'
152,'Warrior','2011','8.2'
153,'Blade Runner','1982','8.2'
154,'Dial M for Murder','1954','8.2'
155,'Smultronstället','1957','8.2'
156,'The General','1926','8.2'
157,'No Country for Old Men','2007','8.1'
158,'Trainspotting','1996','8.2'
159,'There Will Be Blood','2007','8.1'
160,'The Sixth Sense','1999','8.1'
161,'Gone with the Wind','1939','8.2'
162,'The Thing','1982','8.1'
163,'Fargo','1996','8.1'
164,'Gran Torino','2008','8.1'
165,'Roma\xa0','2018','8.3'
166,'The Deer Hunter','1978','8.1'
167,'Finding Nemo','2003','8.1'
168,'Idi i smotri','1985','8.2'
169,'The Big Lebowski','1998','8.1'
170,'Shutter Island','2010','8.1'
171,'Sherlock Jr.','1924','8.2'
172,'Kill Bill: Vol. 1','2003','8.1'
173,'Cool Hand Luke','1967','8.1'
174,'Rebecca','1940','8.1'
175,'Tôkyô monogatari','1953','8.2'
176,'Mary and Max','2009','8.1'
177,'Hacksaw Ridge','2016','8.1'
178,'Gone Girl','2014','8.1'
179,'How to Train Your Dragon','2010','8.1'
180,'Sunrise: A Song of Two Humans','1927','8.2'
181,'Relatos salvajes','2014','8.1'
182,'Jurassic Park','1993','8.1'
183,'Into the Wild','2007','8.1'
184,'Life of Brian','1979','8.1'
185,'In the Name of the Father','1993','8.1'
186,'The Truman Show','1998','8.1'
187,'The Grand Budapest Hotel','2014','8.1'
188,'Platoon','1986','8.1'
189,'Stand by Me','1986','8.1'
190,'It Happened One Night','1934','8.1'
191,'Eskiya\xa0','1996','8.3'
192,'Network','1976','8.1'
193,'Stalker','1979','8.1'
194,'Persona','1966','8.1'
195,'Salinui chueok','2003','8.1'
196,'Ben-Hur','1959','8.1'
197,'Hotel Rwanda','2004','8.1'
198,'12 Years a Slave','2013','8.1'
199,'Million Dollar Baby','2004','8.1'
200,"""La passion de Jeanne d'Arc""",'1928','8.2'
201,'Rush','2013','8.1'
202,'Andrey Rublev','1966','8.2'
203,'Le salaire de la peur','1953','8.1'
204,'Before Sunrise','1995','8.1'
205,'Mad Max: Fury Road','2015','8.1'
206,'Les quatre cents coups','1959','8.1'
207,'Prisoners','2013','8.1'
208,"""Hachi: A Dog's Tale""",'2009','8.1'
209,'Spotlight','2015','8.1'
210,'Logan','2017','8.1'
211,'Rang De Basanti','2006','8.2'
212,'Amores perros','2000','8.1'
213,'The Princess Bride','1987','8.1'
214,'Catch Me If You Can','2002','8.1'
215,'Kaze no tani no Naushika','1984','8.1'
216,'Harry Potter and the Deathly Hallows: Part 2','2011','8.1'
217,'Butch Cassidy and the Sundance Kid','1969','8.1'
218,'Rocky','1976','8.1'
219,'Barry Lyndon','1975','8.1'
220,'Monsters,Inc.','Pete Docter'
221,'The Grapes of Wrath','1940','8.1'
222,'The Maltese Falcon','1941','8.1'
223,'Dead Poets Society','1989','8.1'
224,'Donnie Darko','2001','8.1'
225,'The Terminator','1984','8.0'
226,'Gandhi','1982','8.1'
227,'Les diaboliques','1955','8.1'
228,'La haine','1995','8.1'
229,'Groundhog Day','1993','8.0'
230,'The Wizard of Oz','1939','8.0'
231,'Jaws','1975','8.0'
232,'Le notti di Cabiria','1957','8.1'
233,'The Help','2011','8.1'
234,'Faa yeung nin wa','2000','8.1'
235,'Mandariinid','2013','8.2'
236,'Before Sunset','2004','8.1'
237,'Paper Moon','1973','8.1'
238,'Ah-ga-ssi','2016','8.1'
239,'Paris,Texas','Wim Wenders'
240,'The Best Years of Our Lives','1946','8.1'
241,'Tenkû no shiro Rapyuta','1986','8.1'
242,'Pirates of the Caribbean: The Curse of the Black Pearl','2003','8.0'
243,'Blade Runner 2049','2017','8.0'
244,'La La Land','2016','8.0'
245,'Guardians of the Galaxy','2014','8.1'
246,'Fanny och Alexander','1982','8.1'
247,'Tsubaki Sanjûrô','1962','8.1'
248,'Gangs of Wasseypur','2012','8.2'
249,'Drishyam\xa0','2015','8.3'
